Target Name,RA (J2000.0),Dec. (J2000.0),Proposal ID,Start Date,Sequence Number,Instrument,Filter,Int. Time,Obs. Type,Intent,Product ID,Data Type,Obs. ID,DOWNLOADABLE
oCeti,34.84028262,-2.972555584,JCMTCAL,56212.37631,35,SCUBA-2,SCUBA-2-450um,263,pointing,science,raw-450um,,scuba2_00035_20121012T090140,caom:JCMT/scuba2_00035_20121012T090140/raw-450um
oCeti,34.84362037,-2.964777855,JCMTCAL,56215.55409,48,SCUBA-2,SCUBA-2-450um,267,pointing,science,raw-450um,,scuba2_00048_20121015T131736,caom:JCMT/scuba2_00048_20121015T131736/raw-450um
oCeti,34.84362037,-2.964638967,JCMTCAL,56187.62797,56,SCUBA-2,SCUBA-2-450um,264,pointing,science,raw-450um,,scuba2_00056_20120917T150409,caom:JCMT/scuba2_00056_20120917T150409/raw-450um
oCeti,34.84348129,-2.96450008,JCMTCAL,56283.38133,42,SCUBA-2,SCUBA-2-450um,252,pointing,science,raw-450um,,scuba2_00042_20121222T090818,caom:JCMT/scuba2_00042_20121222T090818/raw-450um
oCeti,34.84334222,-2.964638968,JCMTCAL,55950.29858,27,SCUBA-2,SCUBA-2-450um,374,pointing,science,raw-450um,,scuba2_00027_20120124T070957,caom:JCMT/scuba2_00027_20120124T070957/raw-450um
oCeti,34.84306407,-2.964777854,JCMTCAL,56182.68543,72,SCUBA-2,SCUBA-2-450um,266,pointing,science,raw-450um,,scuba2_00072_20120912T162647,caom:JCMT/scuba2_00072_20120912T162647/raw-450um
oCeti,34.83374615,-2.95005577,JCMTCAL,56292.27956,22,SCUBA-2,SCUBA-2-450um,244,pointing,science,raw-450um,,scuba2_00022_20121231T064140,caom:JCMT/scuba2_00022_20121231T064140/raw-450um
oCeti,34.83207718,-2.975194456,JCMTCAL,56222.39863,32,SCUBA-2,SCUBA-2-450um,250,pointing,science,raw-450um,,scuba2_00032_20121022T093348,caom:JCMT/scuba2_00032_20121022T093348/raw-450um
oCeti,34.84028262,-2.972416696,JCMTCAL,56177.47297,48,SCUBA-2,SCUBA-2-450um,264,pointing,science,raw-450um,,scuba2_00048_20120907T112105,caom:JCMT/scuba2_00048_20120907T112105/raw-450um
oCeti,34.83444151,-2.951444652,JCMTCAL,56186.57009,54,SCUBA-2,SCUBA-2-450um,262,pointing,science,raw-450um,,scuba2_00054_20120916T134027,caom:JCMT/scuba2_00054_20120916T134027/raw-450um
oCeti,34.83360707,-2.949777994,JCMTCAL,56187.57036,47,SCUBA-2,SCUBA-2-450um,263,pointing,science,raw-450um,,scuba2_00047_20120917T134041,caom:JCMT/scuba2_00047_20120917T134041/raw-450um
oCeti,34.84014354,-2.971444486,JCMTCAL,56198.43428,53,SCUBA-2,SCUBA-2-450um,258,pointing,science,raw-450um,,scuba2_00053_20120928T102511,caom:JCMT/scuba2_00053_20120928T102511/raw-450um
oCeti,34.83221625,-2.975750008,JCMTCAL,56146.6203,61,SCUBA-2,SCUBA-2-450um,258,pointing,science,raw-450um,,scuba2_00061_20120807T145314,caom:JCMT/scuba2_00061_20120807T145314/raw-450um
oCeti,34.84278592,-2.964777854,JCMTCAL,56283.32336,37,SCUBA-2,SCUBA-2-450um,253,pointing,science,raw-450um,,scuba2_00037_20121222T074455,caom:JCMT/scuba2_00037_20121222T074455/raw-450um
oCeti,34.83263348,-2.976166673,JCMTCAL,56132.67049,58,SCUBA-2,SCUBA-2-450um,307,pointing,science,raw-450um,,scuba2_00058_20120724T160530,caom:JCMT/scuba2_00058_20120724T160530/raw-450um
oCeti,34.83249441,-2.975194457,JCMTCAL,56188.51391,44,SCUBA-2,SCUBA-2-450um,263,pointing,science,raw-450um,,scuba2_00044_20120918T121935,caom:JCMT/scuba2_00044_20120918T121935/raw-450um
oCeti,34.8333289,-2.96144456,JCMTCAL,56221.44593,56,SCUBA-2,SCUBA-2-450um,214,pointing,science,raw-450um,,scuba2_00056_20121021T104200,caom:JCMT/scuba2_00056_20121021T104200/raw-450um
oCeti,34.83207708,-2.999083213,JCMTCAL,56133.65141,59,SCUBA-2,SCUBA-2-450um,298,pointing,science,raw-450um,,scuba2_00059_20120725T153802,caom:JCMT/scuba2_00059_20120725T153802/raw-450um
oCeti,34.84111707,-2.973527802,JCMTCAL,56177.43289,43,SCUBA-2,SCUBA-2-450um,265,pointing,science,raw-450um,,scuba2_00043_20120907T102322,caom:JCMT/scuba2_00043_20120907T102322/raw-450um
oCeti,34.84348129,-2.964638967,JCMTCAL,56280.38946,73,SCUBA-2,SCUBA-2-450um,260,pointing,science,raw-450um,,scuba2_00073_20121219T092037,caom:JCMT/scuba2_00073_20121219T092037/raw-450um
oCeti,34.84362037,-2.964638967,JCMTCAL,56278.38648,38,SCUBA-2,SCUBA-2-450um,257,pointing,science,raw-450um,,scuba2_00038_20121217T091617,caom:JCMT/scuba2_00038_20121217T091617/raw-450um
oCeti,34.83235533,-2.975333344,JCMTCAL,56186.51645,45,SCUBA-2,SCUBA-2-450um,264,pointing,science,raw-450um,,scuba2_00045_20120916T122303,caom:JCMT/scuba2_00045_20120916T122303/raw-450um
oCeti,34.84348129,-2.964638967,JCMTCAL,56280.35234,70,SCUBA-2,SCUBA-2-450um,261,pointing,science,raw-450um,,scuba2_00070_20121219T082641,caom:JCMT/scuba2_00070_20121219T082641/raw-450um
oCeti,34.84264684,-2.962694524,JCMTCAL,56220.57567,52,SCUBA-2,SCUBA-2-450um,293,pointing,science,raw-450um,,scuba2_00052_20121020T134849,caom:JCMT/scuba2_00052_20121020T134849/raw-450um
oCeti,34.84111707,-2.973388914,JCMTCAL,56215.32949,26,SCUBA-2,SCUBA-2-450um,270,pointing,science,raw-450um,,scuba2_00026_20121015T075414,caom:JCMT/scuba2_00026_20121015T075414/raw-450um
oCeti,34.84334222,-2.964777855,JCMTCAL,56213.52769,51,SCUBA-2,SCUBA-2-450um,269,pointing,science,raw-450um,,scuba2_00051_20121013T123900,caom:JCMT/scuba2_00051_20121013T123900/raw-450um
oCeti,34.840978,-2.973388914,JCMTCAL,56212.343,32,SCUBA-2,SCUBA-2-450um,156,pointing,science,raw-450um,,scuba2_00032_20121012T081342,caom:JCMT/scuba2_00032_20121012T081342/raw-450um
oCeti,34.83207718,-2.975194456,JCMTCAL,56212.4264,42,SCUBA-2,SCUBA-2-450um,266,pointing,science,raw-450um,,scuba2_00042_20121012T101348,caom:JCMT/scuba2_00042_20121012T101348/raw-450um
oCeti,34.84362036,-2.96450008,JCMTCAL,56212.55547,58,SCUBA-2,SCUBA-2-450um,263,pointing,science,raw-450um,,scuba2_00058_20121012T131937,caom:JCMT/scuba2_00058_20121012T131937/raw-450um
oCeti,34.83318982,-2.962000116,JCMTCAL,56187.5341,44,SCUBA-2,SCUBA-2-450um,263,pointing,science,raw-450um,,scuba2_00044_20120917T124827,caom:JCMT/scuba2_00044_20120917T124827/raw-450um
oCeti,34.85252128,-2.974777688,JCMTCAL,56158.59325,54,SCUBA-2,SCUBA-2-450um,273,pointing,science,raw-450um,,scuba2_00054_20120819T141417,caom:JCMT/scuba2_00054_20120819T141417/raw-450um
oCeti,34.84348129,-2.964500079,JCMTCAL,55949.30294,19,SCUBA-2,SCUBA-2-450um,368,pointing,science,raw-450um,,scuba2_00019_20120123T071614,caom:JCMT/scuba2_00019_20120123T071614/raw-450um
oCeti,34.84264678,-2.95144466,JCMTCAL,55949.24076,13,SCUBA-2,SCUBA-2-450um,263,pointing,science,raw-450um,,scuba2_00013_20120123T054642,caom:JCMT/scuba2_00013_20120123T054642/raw-450um
oCeti,34.83207718,-2.975333344,JCMTCAL,56162.56163,47,SCUBA-2,SCUBA-2-450um,271,pointing,science,raw-450um,,scuba2_00047_20120823T132845,caom:JCMT/scuba2_00047_20120823T132845/raw-450um
oCeti,34.83471965,-2.951305776,JCMTCAL,55951.22113,13,SCUBA-2,SCUBA-2-450um,373,pointing,science,raw-450um,,scuba2_00013_20120125T051826,caom:JCMT/scuba2_00013_20120125T051826/raw-450um
oCeti,34.84000446,-2.97075005,JCMTCAL,56146.58448,53,SCUBA-2,SCUBA-2-450um,259,pointing,science,raw-450um,,scuba2_00053_20120807T140139,caom:JCMT/scuba2_00053_20120807T140139/raw-450um
oCeti,34.84292499,-2.962555639,JCMTCAL,56193.61572,59,SCUBA-2,SCUBA-2-450um,267,pointing,science,raw-450um,,scuba2_00059_20120923T144627,caom:JCMT/scuba2_00059_20120923T144627/raw-450um
oCeti,34.83221626,-2.974916681,JCMTCAL,56220.40167,35,SCUBA-2,SCUBA-2-450um,253,pointing,science,raw-450um,,scuba2_00035_20121020T093708,caom:JCMT/scuba2_00035_20121020T093708/raw-450um
oCeti,34.84320314,-2.964638967,JCMTCAL,56220.50793,46,SCUBA-2,SCUBA-2-450um,248,pointing,science,raw-450um,,scuba2_00046_20121020T121036,caom:JCMT/scuba2_00046_20121020T121036/raw-450um
oCeti,34.84362037,-2.964638967,JCMTCAL,56188.63052,58,SCUBA-2,SCUBA-2-450um,264,pointing,science,raw-450um,,scuba2_00058_20120918T150734,caom:JCMT/scuba2_00058_20120918T150734/raw-450um
oCeti,34.83277258,-2.96741674,JCMTCAL,56214.45439,49,SCUBA-2,SCUBA-2-450um,266,pointing,science,raw-450um,,scuba2_00049_20121014T105407,caom:JCMT/scuba2_00049_20121014T105407/raw-450um
oCeti,34.84083892,-2.973527802,JCMTCAL,56222.31803,22,SCUBA-2,SCUBA-2-450um,250,pointing,science,raw-450um,,scuba2_00022_20121022T073610,caom:JCMT/scuba2_00022_20121022T073610/raw-450um
oCeti,34.84306407,-2.964916738,JCMTCAL,56222.59426,55,SCUBA-2,SCUBA-2-450um,253,pointing,science,raw-450um,,scuba2_00055_20121022T141536,caom:JCMT/scuba2_00055_20121022T141536/raw-450um
oCeti,34.83305074,-2.963666774,JCMTCAL,56146.64222,64,SCUBA-2,SCUBA-2-450um,268,pointing,science,raw-450um,,scuba2_00064_20120807T152448,caom:JCMT/scuba2_00064_20120807T152448/raw-450um
oCeti,34.84362037,-2.964777855,JCMTCAL,56176.65464,78,SCUBA-2,SCUBA-2-450um,260,pointing,science,raw-450um,,scuba2_00078_20120906T154241,caom:JCMT/scuba2_00078_20120906T154241/raw-450um
oCeti,34.83360707,-2.949777993,JCMTCAL,56221.47959,59,SCUBA-2,SCUBA-2-450um,250,pointing,science,raw-450um,,scuba2_00059_20121021T113027,caom:JCMT/scuba2_00059_20121021T113027/raw-450um
oCeti,34.83513687,-2.95130578,JCMTCAL,55934.2723,20,SCUBA-2,SCUBA-2-450um,271,pointing,science,raw-450um,,scuba2_00020_20120108T063207,caom:JCMT/scuba2_00020_20120108T063207/raw-450um
oCeti,34.83305075,-2.962139005,JCMTCAL,56127.69579,71,SCUBA-2,SCUBA-2-450um,261,pointing,science,raw-450um,,scuba2_00071_20120719T164156,caom:JCMT/scuba2_00071_20120719T164156/raw-450um
oCeti,34.83138187,-2.961583457,JCMTCAL,56197.50463,55,SCUBA-2,SCUBA-2-450um,264,pointing,science,raw-450um,,scuba2_00055_20120927T120626,caom:JCMT/scuba2_00055_20120927T120626/raw-450um
oCeti,34.829852,-2.971166696,JCMTCAL,56177.51471,54,SCUBA-2,SCUBA-2-450um,268,pointing,science,raw-450um,,scuba2_00054_20120907T122111,caom:JCMT/scuba2_00054_20120907T122111/raw-450um
oCeti,34.84042169,-2.972277808,JCMTCAL,56188.44832,36,SCUBA-2,SCUBA-2-450um,159,pointing,science,raw-450um,,scuba2_00036_20120918T104510,caom:JCMT/scuba2_00036_20120918T104510/raw-450um
oCeti,34.83485872,-2.952139105,JCMTCAL,56279.29047,42,SCUBA-2,SCUBA-2-450um,258,pointing,science,raw-450um,,scuba2_00042_20121218T065806,caom:JCMT/scuba2_00042_20121218T065806/raw-450um
oCeti,34.840978,-2.973250025,JCMTCAL,56164.47566,34,SCUBA-2,SCUBA-2-450um,385,pointing,science,raw-450um,,scuba2_00034_20120825T112457,caom:JCMT/scuba2_00034_20120825T112457/raw-450um
oCeti,34.84320315,-2.964916743,JCMTCAL,56167.7144,62,SCUBA-2,SCUBA-2-450um,270,pointing,science,raw-450um,,scuba2_00062_20120828T170844,caom:JCMT/scuba2_00062_20120828T170844/raw-450um
oCeti,34.83221625,-2.976027783,JCMTCAL,55933.20177,14,SCUBA-2,SCUBA-2-450um,263,pointing,science,raw-450um,,scuba2_00014_20120107T045033,caom:JCMT/scuba2_00014_20120107T045033/raw-450um
oCeti,34.84000446,-2.971444487,JCMTCAL,56211.40039,37,SCUBA-2,SCUBA-2-450um,264,pointing,science,raw-450um,,scuba2_00037_20121011T093608,caom:JCMT/scuba2_00037_20121011T093608/raw-450um
oCeti,34.84028262,-2.972277809,JCMTCAL,56162.52138,43,SCUBA-2,SCUBA-2-450um,269,pointing,science,raw-450um,,scuba2_00043_20120823T123047,caom:JCMT/scuba2_00043_20120823T123047/raw-450um
oCeti,34.83416336,-2.951861311,JCMTCAL,55953.20273,13,SCUBA-2,SCUBA-2-450um,260,pointing,science,raw-450um,,scuba2_00013_20120127T045156,caom:JCMT/scuba2_00013_20120127T045156/raw-450um
oCeti,34.84000447,-2.971583373,JCMTCAL,56222.36478,29,SCUBA-2,SCUBA-2-450um,250,pointing,science,raw-450um,,scuba2_00029_20121022T084416,caom:JCMT/scuba2_00029_20121022T084416/raw-450um
oCeti,34.84306407,-2.964777854,JCMTCAL,56224.48847,59,SCUBA-2,SCUBA-2-450um,336,pointing,science,raw-450um,,scuba2_00059_20121024T114220,caom:JCMT/scuba2_00059_20121024T114220/raw-450um
oCeti,34.83040828,-2.975333335,JCMTCAL,56292.22421,14,SCUBA-2,SCUBA-2-450um,247,pointing,science,raw-450um,,scuba2_00014_20121231T052239,caom:JCMT/scuba2_00014_20121231T052239/raw-450um
oCeti,34.840978,-2.973527802,JCMTCAL,56211.34456,32,SCUBA-2,SCUBA-2-450um,262,pointing,science,raw-450um,,scuba2_00032_20121011T081329,caom:JCMT/scuba2_00032_20121011T081329/raw-450um
oCeti,34.842925,-2.964777852,JCMTCAL,55961.30368,25,SCUBA-2,SCUBA-2-450um,261,pointing,science,raw-450um,,scuba2_00025_20120204T071718,caom:JCMT/scuba2_00025_20120204T071718/raw-450um
oCeti,34.83471965,-2.952000213,JCMTCAL,56223.44534,66,SCUBA-2,SCUBA-2-450um,333,pointing,science,raw-450um,,scuba2_00066_20121023T104037,caom:JCMT/scuba2_00066_20121023T104037/raw-450um
oCeti,34.84348129,-2.964638967,JCMTCAL,56202.603,59,SCUBA-2,SCUBA-2-450um,266,pointing,science,raw-450um,,scuba2_00059_20121002T142749,caom:JCMT/scuba2_00059_20121002T142749/raw-450um
oCeti,34.85085227,-2.967138886,JCMTCAL,56161.59766,51,SCUBA-2,SCUBA-2-450um,270,pointing,science,raw-450um,,scuba2_00051_20120822T142038,caom:JCMT/scuba2_00051_20120822T142038/raw-450um
oCeti,34.83207718,-2.975472232,JCMTCAL,56108.71046,64,SCUBA-2,SCUBA-2-450um,260,pointing,science,raw-450um,,scuba2_00064_20120630T170304,caom:JCMT/scuba2_00064_20120630T170304/raw-450um
oCeti,34.84362037,-2.964638967,JCMTCAL,56214.54293,60,SCUBA-2,SCUBA-2-450um,268,pointing,science,raw-450um,,scuba2_00060_20121014T130132,caom:JCMT/scuba2_00060_20121014T130132/raw-450um
oCeti,34.84292499,-2.962694526,JCMTCAL,56192.62799,52,SCUBA-2,SCUBA-2-450um,212,pointing,science,raw-450um,,scuba2_00052_20120922T150402,caom:JCMT/scuba2_00052_20120922T150402/raw-450um
oCeti,34.84362037,-2.964638967,JCMTCAL,56197.60214,70,SCUBA-2,SCUBA-2-450um,267,pointing,science,raw-450um,,scuba2_00070_20120927T142658,caom:JCMT/scuba2_00070_20120927T142658/raw-450um
oCeti,34.83374615,-2.95019466,JCMTCAL,56214.49103,52,SCUBA-2,SCUBA-2-450um,267,pointing,science,raw-450um,,scuba2_00052_20121014T114650,caom:JCMT/scuba2_00052_20121014T114650/raw-450um
oCeti,34.84306407,-2.964777854,JCMTCAL,55953.31407,27,SCUBA-2,SCUBA-2-450um,369,pointing,science,raw-450um,,scuba2_00027_20120127T073216,caom:JCMT/scuba2_00027_20120127T073216/raw-450um
oCeti,34.83430243,-2.951722429,JCMTCAL,56198.5172,64,SCUBA-2,SCUBA-2-450um,156,pointing,science,raw-450um,,scuba2_00064_20120928T122429,caom:JCMT/scuba2_00064_20120928T122429/raw-450um
oCeti,34.83388521,-2.951722423,JCMTCAL,56190.55067,62,SCUBA-2,SCUBA-2-450um,260,pointing,science,raw-450um,,scuba2_00062_20120920T131251,caom:JCMT/scuba2_00062_20120920T131251/raw-450um
oCeti,34.84348129,-2.964638968,JCMTCAL,56182.64961,69,SCUBA-2,SCUBA-2-450um,372,pointing,science,raw-450um,,scuba2_00069_20120912T153420,caom:JCMT/scuba2_00069_20120912T153420/raw-450um
oCeti,34.83471965,-2.951166888,JCMTCAL,56201.53625,57,SCUBA-2,SCUBA-2-450um,265,pointing,science,raw-450um,,scuba2_00057_20121001T125205,caom:JCMT/scuba2_00057_20121001T125205/raw-450um
oCeti,34.82985197,-2.975472219,JCMTCAL,56214.41888,46,SCUBA-2,SCUBA-2-450um,267,pointing,science,raw-450um,,scuba2_00046_20121014T100303,caom:JCMT/scuba2_00046_20121014T100303/raw-450um
oCeti,34.83430243,-2.952000209,JCMTCAL,56276.30226,31,SCUBA-2,SCUBA-2-450um,259,pointing,science,raw-450um,,scuba2_00031_20121215T071502,caom:JCMT/scuba2_00031_20121215T071502/raw-450um
